product,Color,SIZE,Type/ Model,,catagory,SKU,סוג,שם,תיאור,במלאי?,מלאי,מחיר רגיל,קטגוריות,תגיות,Images,שיוך 1 שמות,שיוך 1 ערכים,אב,שיוך 1 פריטים גלובליים
BG,WHYWBK,12,SA,BOXING GLOVES,,BGSA-WHYWBK-12,variation,"SUPER AIR white yellow black,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-152-scaled.jpg,weight,12OZ,BGSA-WHYWBK,1
BG,WHYWBK,14,SA,BOXING GLOVES,,BGSA-WHYWBK-14,variation,"SUPER AIR white yellow black,כפפות איגרוף עור",,1,2,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-152-scaled.jpg,weight,14OZ,BGSA-WHYWBK,1
BG,WHYWBK,16,SA,BOXING GLOVES,,BGSA-WHYWBK-16,variation,"SUPER AIR white yellow black,כפפות איגרוף עור",,1,6,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-152-scaled.jpg,weight,16OZ,BGSA-WHYWBK,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSA-BKBUWH,variable,"SUPER AIR black blue white,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-142.jpeg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,BKBUWH,8,SA,BOXING GLOVES,,BGSA-BKBUWH-8,variation,"SUPER AIR black blue white,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-142.jpeg,weight,8OZ,BGSA-BKBUWH,1
BG,BKBUWH,10,SA,BOXING GLOVES,,BGSA-BKBUWH-10,variation,"SUPER AIR black blue white,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-142.jpeg,weight,10OZ,BGSA-BKBUWH,1
BG,BKBUWH,12,SA,BOXING GLOVES,,BGSA-BKBUWH-12,variation,"SUPER AIR black blue white,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-142.jpeg,weight,12OZ,BGSA-BKBUWH,1
BG,BKBUWH,14,SA,BOXING GLOVES,,BGSA-BKBUWH-14,variation,"SUPER AIR black blue white,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-142.jpeg,weight,14OZ,BGSA-BKBUWH,1
BG,BKBUWH,16,SA,BOXING GLOVES,,BGSA-BKBUWH-16,variation,"SUPER AIR black blue white,כפפות איגרוף עור",,1,2,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-142.jpeg,weight,16OZ,BGSA-BKBUWH,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSA-RDBKBK,variable,"SUPER AIR red black black,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-322.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,RDBKBK,8,SA,BOXING GLOVES,,BGSA-RDBKBK-8,variation,"SUPER AIR red black black,כפפות איגרוף עור",,1,1,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-322.jpg,weight,8OZ,BGSA-RDBKBK,1
BG,RDBKBK,10,SA,BOXING GLOVES,,BGSA-RDBKBK-10,variation,"SUPER AIR red black black,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-322.jpg,weight,10OZ,BGSA-RDBKBK,1
BG,RDBKBK,12,SA,BOXING GLOVES,,BGSA-RDBKBK-12,variation,"SUPER AIR red black black,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-322.jpg,weight,12OZ,BGSA-RDBKBK,1
BG,RDBKBK,14,SA,BOXING GLOVES,,BGSA-RDBKBK-14,variation,"SUPER AIR red black black,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-322.jpg,weight,14OZ,BGSA-RDBKBK,1
